id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
313,Examining the Optimal Placement of Cooling Centers to Serve Populations at High Risk of Extreme Heat Exposure in 81 US Cities,"Adams, Q. H.; Chan, E. M. G.; Spangler, K. R.; Weinberger, K. R.; Lane, K. J.; Errett, N. A.; Hess, J. J.; Sun, Y.; Wellenius, G. A.; Nori-Sarma, A.",cooling centers; extreme heat; social vulnerability; spatial analysis,2023,Public Health Reports,10.1177/00333549221148174,"Georgia, Washington, DC","Atlanta, Washington DC",Urban,"Adams, Q. H., Chan, E. M. G., Spangler, K. R., Weinberger, K. R., Lane, K. J., Errett, N. A., Hess, J. J., Sun, Y., Wellenius, G. A., & Nori-Sarma, A. (2023). Examining the Optimal Placement of Cooling Centers to Serve Populations at High Risk of Extreme Heat Exposure in 81 US Cities. Public Health Reports, 138(6), 955–962. https://doi.org/10.1177/00333549221148174"
104,"Estimated SARS-CoV-2 antibody seroprevalence trends and relationship to reported case prevalence from a repeated, cross-sectional study in the 50 states and the District of Columbia, United States—October 25, 2020–February 26, 2022","Wiegand, R. E.; Deng, Y.; Deng, X.; Lee, A.; Meyer, W. A., III; Letovsky, S.; Charles, M. D.; Gundlapalli, A. V.; MacNeil, A.; Hall, A. J.; Thornburg, N. J.; Jones, J.; Iachan, R.; Clarke, K. E. N.",COVID-19; SARS-CoV-2; Seroprevalence; United States,2023,Lancet Regional Health - Americas,10.1016/j.lana.2022.100403,Georgia,Atlanta,State,"Wiegand, R. E., Deng, Y., Deng, X., Lee, A., Meyer, W. A., Letovsky, S., Charles, M. D., Gundlapalli, A. V., MacNeil, A., Hall, A. J., Thornburg, N. J., Jones, J., Iachan, R., & Clarke, K. E. N. (2023). Estimated SARS-CoV-2 antibody seroprevalence trends and relationship to reported case prevalence from a repeated, cross-sectional study in the 50 states and the District of Columbia, United States—October 25, 2020–February 26, 2022. The Lancet Regional Health - Americas, 18, 100403. https://doi.org/10.1016/j.lana.2022.100403"
275,The association of neighborhood social vulnerability and pediatric acute respiratory failure,"Najjar, N.; Fitzpatrick, A.; Grunwell, J.",acute respiratory failure; adolescent; census tract; child; cohort analysis; conference abstract; controlled study; critically ill patient; disability; female; household; housing; human; human tissue; intensive care; language; major clinical study; male; neighborhood; preschool child; retrospective study; social status; Social Vulnerability Index,2022,Critical Care Medicine,10.1097/01.ccm.0000806668.89205.49,Georgia,Atlanta,Tract Neighborhood,"Najjar, N., Fitzpatrick, A., & Grunwell, J. (2021). 51: THE ASSOCIATION OF NEIGHBORHOOD SOCIAL VULNERABILITY AND PEDIATRIC ACUTE RESPIRATORY FAILURE. Critical Care Medicine, 50(1), 26–26. https://doi.org/10.1097/01.ccm.0000806668.89205.49"
378,Geospatial Analysis of Social Determinants of Health Identifies Neighborhood Hot Spots Associated With Pediatric Intensive Care Use for Acute Respiratory Failure Requiring Mechanical Ventilation,"Najjar, N.; Opolka, C.; Fitzpatrick, A. M.; Grunwell, J. R.","Child; Critical Care; Humans; Infant; Intensive Care Units, Pediatric; Respiration, Artificial; Respiratory Distress Syndrome; Respiratory Insufficiency[Therapy]; Respiratory Insufficiency; Retrospective Studies; Social Determinants of Health",2022,Pediatric Critical Care Medicine,10.1097/PCC.0000000000002986,Georgia,Atlanta,Tract State Urban Neighborhood Community,"Najjar, N., Opolka, C., Fitzpatrick, A. M., & Grunwell, J. R. (2022). Geospatial Analysis of Social Determinants of Health Identifies Neighborhood Hot Spots Associated With Pediatric Intensive Care Use for Acute Respiratory Failure Requiring Mechanical Ventilation*. Pediatric Critical Care Medicine, 23(8), 606–617. https://doi.org/10.1097/pcc.0000000000002986"
107,Social Vulnerability Is Associated with Emergency Department Dependency in Pediatric Sickle Cell Disease Patients,"Lai, K.; Lane, P. A.",acute disease; aged; asthma; body mass; child; cohort analysis; conference abstract; controlled study; disability; disaster management; emergency ward; female; follow up; funding; genetic susceptibility; genotype; health care utilization; hospital patient; household; housing; human; human cell; juvenile; language; length of stay; major clinical study; male; newborn; school child; sickle cell anemia; social status; Social Vulnerability Index; thalassemia; vulnerable population; hydroxyurea,2019,Blood,10.1182/blood-2019-125351,NA,Atlanta,Tract County Urban,"Lai, K., & Lane, P. A. (2019). Social Vulnerability Is Associated with Emergency Department Dependency in Pediatric Sickle Cell Disease Patients. Blood, 134(Supplement_1), 4680–4680. https://doi.org/10.1182/blood-2019-125351"
440,Environmental and Social Determinants of Fever in COVID-19,"Bhavani, S.; Edathara, N.; Lyons, P. G.; Luo, Y.; Wiley, Z.; Mao, C.; Bewley, A.; Robichaux, C.; Verhoef, P. A.; Coopersmith, C.",adult; body temperature; city; comorbidity; conference abstract; controlled study; coronavirus disease 2 19; electronic health record; environmental temperature; female; fever; health care system; hospitalization; human; insurance; major clinical study; male; mouth temperature; multicenter study; race; retrospective study; social determinants of health; Social Vulnerability Index; weather,2022,"American Journal of Respiratory and Critical Care Medicine. Conference: International Conferenceof the American Thoracic Society, ATS",10.1164/ajrccm-conference.2022.205.1_MeetingAbstracts.A2960,NA,"Atlanta, St. Louis",NA,"Bhavani, S., Edathara, N., Lyons, P. G., Luo, Y., Wiley, Z., Mao, C., Bewley, A., Robichaux, C., Verhoef, P. A., & Coopersmith, C. (2022). Environmental and Social Determinants of Fever in COVID-19. B47. COVID MANAGEMENT AND OUTCOMES. https://doi.org/10.1164/ajrccm-conference.2022.205.1_meetingabstracts.a2960"
222,Intersecting near-real time fluvial and pluvial inundation estimates with sociodemographic vulnerability to quantify a household flood impact index,"Preisser, Matthew; Passalacqua, Paola; Bixler, R. Patrick; Hofmann, Julian",Earth Sciences--Hydrology; Hazards; Methods; Households; Maps; Estimates; Floods; Elevation; Topography; Flood mapping; Real time; Census; Memorial Day; Flood hazards; Physics; Community; Vulnerability; Flooding; Two dimensional models; Emergency services; Cartography; Coefficient of variation; Methodology; Emergency preparedness; Censuses; Sociodemographics; Mapping; Access to information; Algorithms; Variability; Rain; United States--US; Texas,2022,Hydrology and Earth System Sciences,10.5194/hess-26-3941-2022,Texas,Austin,NA,"Preisser, M., Passalacqua, P., Bixler, R. P., & Hofmann, J. (2022). Intersecting near-real time fluvial and pluvial inundation  estimates with sociodemographic vulnerability  to quantify a household flood impact index. Hydrology and Earth System Sciences, 26(15), 3941–3964. https://doi.org/10.5194/hess-26-3941-2022"
63,Examining factors that predict drug use: Coping style is a stronger contributor to drug use than the family micro- environment or community macro-environment,"Jordan, C.; Hertzel, S.; Moran, L.; Bertz, J.; Tyburski, M.; Preston, K.; Phillips, K.",Coping; Opioids; Stimulants; Substance Use Disorder; Addiction Severity Index; adverse outcome; alcohol consumption; analysis of variance; awareness; checklist; child; children of alcoholics; community sample; conference abstract; controlled study; COPE inventory; coping behavior; disease control; drug combination; drug dependence; drug therapy; dsm-5; educational status; emotion regulation; ethnicity; family conflict; family history; female; gender; human; humor; injury; life event; life stress; major clinical study; male; marriage; Maryland; microenvironment; neighborhood; outcome assessment; Perceived Stress Scale; race; remission; screening test; Social Vulnerability Index; teaching; alcohol; cannabis; central stimulant agent; opiate,2021,Neuropsychopharmacology,10.1038/s41386-021-01238-5,NA,Baltimore,Neighborhood Community,"ACNP 60th Annual Meeting: Poster Abstracts P551 – P830. (2021). Neuropsychopharmacology, 46(S1), 369–518. https://doi.org/10.1038/s41386-021-01238-5"
235,"Drug use predictors vary by drug type: Family, community and trait influences","Jordan, C.; Tyburski, M.; Moran, L. M.; Hertzel, S. K.; Bertz, J. W.; Preston, K. L.; Phillips, K.",Addiction Severity Index; alcohol consumption; analysis of variance; checklist; child; children of alcoholics; community sample; conference abstract; controlled study; COPE inventory; drug combination; dsm-5; education; educational status; emotion regulation; ethnicity; family history; female; gender; human; injury; life event; major clinical study; male; marriage; Maryland; microenvironment; neighborhood; Perceived Stress Scale; physiological stress; race; screening test; Social Vulnerability Index; alcohol; cannabis; central stimulant agent; diamorphine,2021,Journal of Addiction Medicine,10.1097/ADM.0000000000000902,NA,Baltimore,Neighborhood Community,"2021 Poster Abstracts. (2021). Journal of Addiction Medicine, 15(5), E1–E58. https://doi.org/10.1097/adm.0000000000000902"
13,Addressing Inequities in SARS-CoV-2 Vaccine Uptake: The Boston Medical Center Health System Experience,"Assoumou, S. A.; Peterson, A.; Ginman, E.; James, T.; Pierre, C. M.; Hamilton, S.; Chapman, S.; Goldie, J.; Koenig, R.; Mendez-Escobar, E.; Leaver, H.; Graham, R.; Crichlow, R.; Weaver, T.; Cotterell, S.; Valdez, G.; De Las Nueces, D.; Scott, N. A.; Linas, B. P.; Cherry, P. M.",COVID-19[Epidemiology]; COVID-19[Prevention & Control]; COVID-19; COVID-19 Vaccines; Community Health Centers; Humans; SARS-CoV-2; Vaccination; Vaccines,2022,Annals of Internal Medicine,10.7326/M22-0028,Massachusetts,Boston,Community,"Assoumou, S. A., Peterson, A., Ginman, E., James, T., Pierre, C. M., Hamilton, S., Chapman, S., Goldie, J., Koenig, R., Mendez-Escobar, E., Leaver, H., Graham, R., Crichlow, R., Weaver, T., Cotterell, S., Valdez, G., De Las Nueces, D., Scott, N. A., Linas, B. P., & Cherry, P. M. (2022). Addressing Inequities in SARS-CoV-2 Vaccine Uptake: The Boston Medical Center Health System Experience. Annals of Internal Medicine, 175(6), 879–884. https://doi.org/10.7326/m22-0028"
